op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,scale,zero_point,tensor_name
FULLY_CONNECTED,851,306176.0,0.022816908,2.893412e-05,0.07412866,0.0005206162,0.07185965,-4,positionwise_feed_forward_1/dense_10/Tensordot/MatMul1
RESHAPE,855,306176.0,0.0,0.0,0.0,0.0,0.07185965,-4,positionwise_feed_forward_1/dense_10/Tensordot
ADD,859,306176.0,0.023444816,-0.00026102856,0.036432117,0.00054974074,0.07193499,-4,positionwise_feed_forward_1/dense_10/BiasAdd
MUL,865,306176.0,0.06527298,0.010415873,0.13486993,0.004379675,0.271121,-10,positionwise_feed_forward_1/GELU/mul_1
ADD,869,306176.0,0.09719892,-0.0028125937,0.17140767,0.00945793,0.343056,-9,positionwise_feed_forward_1/GELU/add
MUL,873,306176.0,1.309131e-07,1.7258748e-09,2.1890799e-06,1.7316606e-14,0.27371907,-9,positionwise_feed_forward_1/GELU/mul_2
TANH,877,306176.0,0.0023907223,0.00064308196,0.0078125,6.1700757e-06,0.0078125,0,positionwise_feed_forward_1/GELU/Tanh
ADD,881,306176.0,0.0015742918,0.0006100787,0.003921628,2.8609086e-06,0.007843138,-128,positionwise_feed_forward_1/GELU/add_1
MUL,885,306176.0,0.0,0.0,0.0,0.0,0.035967495,-4,positionwise_feed_forward_1/GELU/mul
MUL,889,306176.0,0.01089389,-0.0018423534,0.018618466,0.00012248848,0.03756374,-123,positionwise_feed_forward_1/GELU/mul_3
RESHAPE,900,306176.0,0.0,0.0,0.0,0.0,0.03756374,-123,positionwise_feed_forward_1/dense_11/Tensordot/Reshape
FULLY_CONNECTED,904,76544.0,0.41296798,-0.005409452,0.79038495,0.17059699,1.4292846,5,positionwise_feed_forward_1/dense_11/Tensordot/MatMul1
RESHAPE,908,76544.0,0.0,0.0,0.0,0.0,1.4292846,5,positionwise_feed_forward_1/dense_11/Tensordot
ADD,912,76544.0,0.017865255,-0.0033815987,0.09702469,0.00033062036,1.4290465,5,positionwise_feed_forward_1/dense_11/BiasAdd
ADD,916,76544.0,0.38090947,-0.009895089,0.7290627,0.14553593,1.4584347,6,add_normalization_4/add
FILL,923,299.0,0.0,0.0,0.0,0.0,0.003921569,-128,add_normalization_4/layer_normalization_4/ones
FILL,927,299.0,0.0,0.0,0.0,0.0,7.843137e-09,0,add_normalization_4/layer_normalization_4/zeros
RESHAPE,933,76544.0,0.0,0.0,0.0,0.0,1.4584347,6,add_normalization_4/layer_normalization_4/Reshape
TRANSPOSE,937,76544.0,0.0,0.0,0.0,0.0,1.4584347,6,add_normalization_4/layer_normalization_4/FusedBatchNormV3
MEAN,941,299.0,0.008308011,0.00022162385,0.017025616,6.95842e-05,0.02224572,60,add_normalization_4/layer_normalization_4/FusedBatchNormV31
SQUARED_DIFFERENCE,945,76544.0,28.22599,-5.6205406,74.485634,829.5946,145.60103,-128,add_normalization_4/layer_normalization_4/FusedBatchNormV32
MEAN,949,299.0,3.227518,0.20854868,5.779788,10.663025,10.979354,-128,add_normalization_4/layer_normalization_4/FusedBatchNormV33
ADD,953,299.0,0.00028811846,-0.00077085325,0.001005611,6.8183266e-07,10.979358,-128,add_normalization_4/layer_normalization_4/FusedBatchNormV34
RSQRT,957,299.0,0.00094674475,-inf,inf,inf,0.0038868352,-128,add_normalization_4/layer_normalization_4/FusedBatchNormV35
MUL,961,299.0,0.0,0.0,0.0,0.0,0.0038868352,-128,add_normalization_4/layer_normalization_4/FusedBatchNormV36
MUL,965,76544.0,0.12618302,0.00032341364,8.97556,0.019162316,0.05668981,9,add_normalization_4/layer_normalization_4/FusedBatchNormV37
MUL,969,299.0,0.015853245,-0.0021658025,0.18839064,0.00040681314,0.001381007,-12,add_normalization_4/layer_normalization_4/FusedBatchNormV38
